,date,open,high,low,close,volume
4705,2012-08-21,1795.517,1817.169,1793.891,1812.401,3426190400
4706,2012-08-22,1813.417,1815.095,1791.417,1798.49,3374378400
4707,2012-08-23,1799.02,1810.545,1790.867,1805.99,3400602400
4708,2012-08-24,1801.283,1803.272,1781.952,1783.266,3534530400
4709,2012-08-27,1776.661,1776.661,1745.39,1745.39,3411261200
4710,2012-08-28,1744.552,1776.456,1743.723,1763.877,3291242800
4711,2012-08-29,1757.325,1763.824,1737.25,1738.226,3259769200
4712,2012-08-30,1731.374,1742.748,1710.633,1729.063,3441414400
4713,2012-08-31,1723.114,1736.916,1721.095,1724.091,2632154000
4714,2012-09-03,1724.328,1745.882,1720.996,1740.624,3292011200
4715,2012-09-04,1744.547,1748.101,1728.077,1731.498,3284488800
4716,2012-09-05,1726.99,1738.391,1720.161,1731.333,3174669600
4717,2012-09-06,1734.348,1744.921,1732.073,1744.101,3206975200
4718,2012-09-07,1754.38,1826.464,1754.38,1812.409,7711194400
4719,2012-09-10,1816.768,1830.831,1810.259,1825.29,6373875600
4720,2012-09-11,1820.05,1820.05,1804.508,1814.893,5050266400
4721,2012-09-12,1824.134,1832.451,1809.685,1826.764,5199841600
4722,2012-09-13,1824.981,1828.314,1809.552,1809.702,4909554800
4723,2012-09-14,1828.821,1835.276,1810.163,1823.13,5704414400
4724,2012-09-17,1820.742,1822.722,1782.657,1783.064,4643508000
4725,2012-09-18,1771.793,1779.988,1759.205,1764.138,3390135200
4726,2012-09-19,1764.812,1775.483,1758.71,1774.422,3174471200
4727,2012-09-20,1767.467,1767.496,1729.503,1730.149,4051312000
4728,2012-09-21,1727.073,1748.674,1725.829,1734.971,3553898400
4729,2012-09-24,1723.901,1748.193,1713.202,1740.552,3387440000
4730,2012-09-25,1736.15,1744.789,1729.352,1736.439,3033016200
4731,2012-09-26,1735.806,1740.391,1704.863,1709.626,3076416400
4732,2012-09-27,1708.067,1763.706,1707.03,1752.92,4081001600
4733,2012-09-28,1743.542,1784.515,1740.563,1782.889,4464216000
4734,2012-10-08,1781.567,1790.922,1762.281,1770.851,3311183600
4735,2012-10-09,1777.39,1810.885,1777.39,1808.047,4955736800
4736,2012-10-10,1804.431,1817.701,1798.123,1816.516,5032724800
4737,2012-10-11,1810.953,1815.329,1797.705,1798.451,4628314000
4738,2012-10-12,1803.835,1818.993,1786.488,1798.062,4056023200
4739,2012-10-15,1796.404,1797.253,1777.812,1789.893,3422963600
4740,2012-10-16,1788.316,1803.703,1782.385,1791.348,3453992400
4741,2012-10-17,1795.805,1808.03,1783.327,1802.105,3599329600
4742,2012-10-18,1804.676,1830.852,1804.472,1825.998,5036211600
4743,2012-10-19,1824.591,1832.114,1818.089,1819.98,4149175200
4744,2012-10-22,1810.625,1824.875,1803.089,1820.545,3545168400
4745,2012-10-23,1819.131,1821.197,1801.388,1804.085,4406422800
4746,2012-10-24,1795.403,1811.075,1793.764,1805.13,4592185600
4747,2012-10-25,1805.0,1816.656,1790.876,1791.384,5156264800
4748,2012-10-26,1790.341,1791.779,1752.258,1758.286,4448419600
4749,2012-10-29,1754.704,1762.188,1748.653,1754.497,3010024200
4750,2012-10-30,1754.051,1769.671,1751.715,1758.2,3445574400
4751,2012-10-31,1756.096,1765.719,1750.993,1765.125,3419018000
4752,2012-11-01,1765.818,1797.889,1765.451,1793.731,4512877600
4753,2012-11-02,1794.314,1801.479,1785.277,1799.464,4101723200
4754,2012-11-05,1795.799,1804.756,1789.894,1797.179,3907606000
4755,2012-11-06,1797.425,1798.192,1765.822,1787.496,4085883200
4756,2012-11-07,1785.538,1798.025,1779.97,1792.017,3501544800
4757,2012-11-08,1778.568,1778.885,1756.0,1756.657,3901443200
4758,2012-11-09,1752.865,1762.888,1748.611,1753.305,3073731400
4759,2012-11-12,1754.23,1765.407,1746.81,1761.312,3104059400
